id,name,region,incomeLevel,capitalCity,longitude,latitude,population
PAK,Pakistan,South Asia,Lower middle income,Islamabad,72.8,30.5167,247504495
PAN,Panama,Latin America & Caribbean ,High income,Panama City,-79.5188,8.99427,4458759
PER,Peru,Latin America & Caribbean ,Upper middle income,Lima,-77.0465,-12.0931,33845617
PHL,Philippines,East Asia & Pacific,Lower middle income,Manila,121.035,14.5515,114891199
PLW,Palau,East Asia & Pacific,High income,Koror,134.479,7.34194,17727
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Port Moresby,147.194,-9.47357,10389635
POL,Poland,Europe & Central Asia,High income,Warsaw,21.02,52.26,36687353
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,Low income,Pyongyang,125.754,39.0319,26418204
PRT,Portugal,Europe & Central Asia,High income,Lisbon,-9.13552,38.7072,10578174
PRY,Paraguay,Latin America & Caribbean ,Upper middle income,Asuncion,-57.6362,-25.3005,6844146
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,,,,5165775
QAT,Qatar,Middle East & North Africa,High income,Doha,51.5082,25.2948,2656032
ROU,Romania,Europe & Central Asia,High income,Bucharest,26.0979,44.4479,19059479
RUS,Russian Federation,Europe & Central Asia,High income,Moscow,37.6176,55.7558,143826130
RWA,Rwanda,Sub-Saharan Africa ,Low income,Kigali,30.0587,-1.95325,13954471
SAU,Saudi Arabia,Middle East & North Africa,High income,Riyadh,46.6977,24.6748,33264292
SDN,Sudan,Sub-Saharan Africa ,Low income,Khartoum,32.5363,15.5932,50042791
SEN,Senegal,Sub-Saharan Africa ,Lower middle income,Dakar,-17.4734,14.7247,18077573
SGP,Singapore,East Asia & Pacific,High income,Singapore,103.85,1.28941,5917648
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,Honiara,159.949,-9.42676,800005
SLE,Sierra Leone,Sub-Saharan Africa ,Low income,Freetown,-13.2134,8.4821,8460512
SLV,El Salvador,Latin America & Caribbean ,Upper middle income,San Salvador,-89.2073,13.7034,6309624
SMR,San Marino,Europe & Central Asia,High income,San Marino,12.4486,43.9322,33860
SOM,Somalia,Sub-Saharan Africa ,Low income,Mogadishu,45.3254,2.07515,18358615
SRB,Serbia,Europe & Central Asia,Upper middle income,Belgrade,20.4656,44.8024,6623183
SSD,South Sudan,Sub-Saharan Africa ,Low income,Juba,31.6,4.85,11483374
STP,Sao Tome and Principe,Sub-Saharan Africa ,Lower middle income,Sao Tome,6.6071,0.20618,230871
SUR,Suriname,Latin America & Caribbean ,Upper middle income,Paramaribo,-55.1679,5.8232,628886
SVK,Slovak Republic,Europe & Central Asia,High income,Bratislava,17.1073,48.1484,5426740
SVN,Slovenia,Europe & Central Asia,High income,Ljubljana,14.5044,46.0546,2120461
SWE,Sweden,Europe & Central Asia,High income,Stockholm,18.0645,59.3327,10536632
SWZ,Eswatini,Sub-Saharan Africa ,Lower middle income,Mbabane,31.4659,-26.5225,1230506
SYC,Seychelles,Sub-Saharan Africa ,High income,Victoria,55.4466,-4.6309,119773
SYR,Syrian Arab Republic,Middle East & North Africa,Low income,Damascus,36.3119,33.5146,23594623
TCD,Chad,Sub-Saharan Africa ,Low income,N'Djamena,15.0445,12.1048,19319064
TGO,Togo,Sub-Saharan Africa ,Low income,Lome,1.2255,6.1228,9304337
THA,Thailand,East Asia & Pacific,Upper middle income,Bangkok,100.521,13.7308,71702435
TJK,Tajikistan,Europe & Central Asia,Lower middle income,Dushanbe,68.7864,38.5878,10389799
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,Ashgabat,58.3794,37.9509,7364438
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Dili,125.567,-8.56667,1384286
TON,Tonga,East Asia & Pacific,Upper middle income,Nuku'alofa,-175.216,-21.136,104597
TTO,Trinidad and Tobago,Latin America & Caribbean ,High income,Port-of-Spain,-61.4789,10.6596,1367510
TUN,Tunisia,Middle East & North Africa,Lower middle income,Tunis,10.21,36.7899,12200431
TUR,Turkiye,Europe & Central Asia,Upper middle income,Ankara,32.3606,39.7153,85325965
TUV,Tuvalu,East Asia & Pacific,Upper middle income,Funafuti,179.089567,-8.6314877,9816
TZA,Tanzania,Sub-Saharan Africa ,Lower middle income,Dodoma,35.7382,-6.17486,66617606
UGA,Uganda,Sub-Saharan Africa ,Low income,Kampala,32.5729,0.314269,48656601
UKR,Ukraine,Europe & Central Asia,Upper middle income,Kiev,30.5038,50.4536,37732836
URY,Uruguay,Latin America & Caribbean ,High income,Montevideo,-56.0675,-34.8941,3388081
USA,United States,North America,High income,Washington D.C.,-77.032,38.8895,334914895
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Tashkent,69.269,41.3052,35652307
VCT,St. Vincent and the Grenadines,Latin America & Caribbean ,Upper middle income,Kingstown,-61.2653,13.2035,101323
VEN,"Venezuela, RB",Latin America & Caribbean ,Not classified,Caracas,-69.8371,9.08165,28300854
VNM,Viet Nam,East Asia & Pacific,Lower middle income,Hanoi,105.825,21.0069,100352192
VUT,Vanuatu,East Asia & Pacific,Lower middle income,Port-Vila,168.321,-17.7404,320409
WSM,Samoa,East Asia & Pacific,Lower middle income,Apia,-171.752,-13.8314,216663
YEM,"Yemen, Rep.",Middle East & North Africa,Low income,Sana'a,44.2075,15.352,39390799
ZAF,South Africa,Sub-Saharan Africa ,Upper middle income,Pretoria,28.1871,-25.746,63212384
ZMB,Zambia,Sub-Saharan Africa ,Lower middle income,Lusaka,28.2937,-15.3982,20723965
ZWE,Zimbabwe,Sub-Saharan Africa ,Lower middle income,Harare,31.0672,-17.8312,16340822
